GWI_ID,Date_time,Num_etape,DTW_1,DTW_2,Tape_error,Comments,original_timestamp_ms,timestamp_utc,timestamp_local
TN017_000004,2021-08-13 15:45:00.000,1_275959,47.64,47.64,-0.01,Captured later by Sri ,1628869500000,2021-08-13 15:45:00,2021-08-13 10:45:00 -0500
TN017_000004,2021-08-13 15:50:00.000,1_275959,47.54,47.54,-0.01,Captured by Sri ,1628869800000,2021-08-13 15:50:00,2021-08-13 10:50:00 -0500
TN017_000004,2021-08-13 15:55:00.000,1_275959,47.44,47.44,-0.01,Captured by Sri ,1628870100000,2021-08-13 15:55:00,2021-08-13 10:55:00 -0500
TN017_000004,2021-08-13 16:00:00.000,1_275959,47.35,47.35,-0.01,Captured by Sri ,1628870400000,2021-08-13 16:00:00,2021-08-13 11:00:00 -0500
TN017_000004,2021-08-13 16:05:00.000,1_275959,47.28,47.28,-0.01,Captured later by Sri ,1628870700000,2021-08-13 16:05:00,2021-08-13 11:05:00 -0500
TN017_000004,2021-08-13 16:15:00.000,1_275959,47.09,47.09,-0.01,Captured by sri,1628871300000,2021-08-13 16:15:00,2021-08-13 11:15:00 -0500
TN017_000004,2021-08-13 16:20:00.000,1_275959,47.02,47.02,-0.01,Captured by Sri ,1628871600000,2021-08-13 16:20:00,2021-08-13 11:20:00 -0500
TN017_000004,2021-08-13 16:25:00.000,1_275959,46.91,46.91,-0.01,Captured by Sri ,1628871900000,2021-08-13 16:25:00,2021-08-13 11:25:00 -0500
TN017_000004,2021-08-13 16:50:00.000,1_275959,46.54,46.54,-0.01,Captured by Sri ,1628873400000,2021-08-13 16:50:00,2021-08-13 11:50:00 -0500
TN017_000004,2021-08-13 16:55:00.000,1_275959,46.5,46.5,-0.01,Captured by Sri ,1628873700000,2021-08-13 16:55:00,2021-08-13 11:55:00 -0500
TN017_000004,2021-08-13 17:00:00.000,1_275959,46.42,46.42,-0.01,Captured by sri,1628874000000,2021-08-13 17:00:00,2021-08-13 12:00:00 -0500
TN017_000004,2021-08-13 17:10:00.000,1_275959,46.3,46.3,-0.01,Captured by Sri ,1628874600000,2021-08-13 17:10:00,2021-08-13 12:10:00 -0500
TN017_000004,2021-08-13 17:20:00.000,1_275959,46.16,46.16,-0.01,Captured by Sri ,1628875200000,2021-08-13 17:20:00,2021-08-13 12:20:00 -0500
TN017_000004,2021-08-13 17:25:00.000,1_275959,46.12,46.12,-0.01,Captured by Sri ,1628875500000,2021-08-13 17:25:00,2021-08-13 12:25:00 -0500
